run,documento,split,adapter,outcome,elapsed_seconds,page_p50_seconds,page_p95_seconds,coverage_included,coverage_quarantined,silent_page_loss_count,quality_status,comparability_note
run-1,C01,calibration,docling,partial,17.920718,0.000003,0.000054,0,5,0,not_evaluable,historical_unbounded_docling_not_comparable_to_protected_receipt
run-1,C01,calibration,native_ocr,complete,0.234076,0.049576,0.062104,5,0,0,not_evaluable,raw_matrix
run-1,C01,calibration,pypdf,complete,0.224206,0.034503,0.063091,5,0,0,not_evaluable,raw_matrix
run-1,C02,calibration,docling,partial,485.359504,0.000005,0.000006,0,44,0,not_evaluable,historical_unbounded_docling_not_comparable_to_protected_receipt
run-1,C02,calibration,native_ocr,partial,30.306650,0.066292,4.558497,39,5,0,not_evaluable,raw_matrix
run-1,C02,calibration,pypdf,partial,4.248384,0.061215,0.162210,39,5,0,not_evaluable,raw_matrix
run-1,C03,test,docling,partial,161.806470,0.000004,0.000006,0,15,0,not_evaluable,historical_unbounded_docling_not_comparable_to_protected_receipt
run-1,C03,test,native_ocr,complete,0.603134,0.025017,0.056327,15,0,0,not_evaluable,raw_matrix
run-1,C03,test,pypdf,complete,0.465954,0.025483,0.043902,15,0,0,not_evaluable,raw_matrix
run-1,C04,test,docling,partial,65.668946,0.000005,0.000103,0,11,0,not_evaluable,historical_unbounded_docling_not_comparable_to_protected_receipt
run-1,C04,test,native_ocr,complete,0.182357,0.013466,0.032853,11,0,0,not_evaluable,raw_matrix
run-1,C04,test,pypdf,complete,0.147027,0.011902,0.024828,11,0,0,not_evaluable,raw_matrix
run-2,C01,calibration,docling,partial,30.464262,0.000005,0.000087,0,5,0,not_evaluable,historical_unbounded_docling_not_comparable_to_protected_receipt
run-2,C01,calibration,native_ocr,complete,0.103259,0.016730,0.030756,5,0,0,not_evaluable,raw_matrix
run-2,C01,calibration,pypdf,complete,0.096969,0.016683,0.028769,5,0,0,not_evaluable,raw_matrix
run-2,C02,calibration,docling,partial,248.351794,0.000003,0.000003,0,44,0,not_evaluable,historical_unbounded_docling_not_comparable_to_protected_receipt
run-2,C02,calibration,native_ocr,partial,10.202627,0.016838,1.431484,39,5,0,not_evaluable,raw_matrix
run-2,C02,calibration,pypdf,partial,0.821384,0.016169,0.024121,39,5,0,not_evaluable,raw_matrix
run-2,C03,test,docling,partial,54.677182,0.000003,0.000006,0,15,0,not_evaluable,historical_unbounded_docling_not_comparable_to_protected_receipt
run-2,C03,test,native_ocr,complete,0.350547,0.026000,0.040662,15,0,0,not_evaluable,raw_matrix
run-2,C03,test,pypdf,complete,0.495946,0.021423,0.044868,15,0,0,not_evaluable,raw_matrix
run-2,C04,test,docling,partial,50.718350,0.000003,0.000062,0,11,0,not_evaluable,historical_unbounded_docling_not_comparable_to_protected_receipt
run-2,C04,test,native_ocr,complete,0.126080,0.010152,0.021461,11,0,0,not_evaluable,raw_matrix
run-2,C04,test,pypdf,complete,0.340689,0.009004,0.248243,11,0,0,not_evaluable,raw_matrix
run-3,C01,calibration,docling,partial,37.657518,0.000007,0.000100,0,5,0,not_evaluable,historical_unbounded_docling_not_comparable_to_protected_receipt
run-3,C01,calibration,native_ocr,complete,0.128043,0.019044,0.037784,5,0,0,not_evaluable,raw_matrix
run-3,C01,calibration,pypdf,complete,0.115508,0.019655,0.034567,5,0,0,not_evaluable,raw_matrix
run-3,C02,calibration,docling,partial,262.317660,0.000003,0.000004,0,44,0,not_evaluable,historical_unbounded_docling_not_comparable_to_protected_receipt
run-3,C02,calibration,native_ocr,partial,11.699474,0.016970,1.736045,39,5,0,not_evaluable,raw_matrix
run-3,C02,calibration,pypdf,partial,0.729040,0.014609,0.022959,39,5,0,not_evaluable,raw_matrix
run-3,C03,test,docling,partial,53.233217,0.000003,0.000005,0,15,0,not_evaluable,historical_unbounded_docling_not_comparable_to_protected_receipt
run-3,C03,test,native_ocr,complete,0.509636,0.021597,0.045255,15,0,0,not_evaluable,raw_matrix
run-3,C03,test,pypdf,complete,0.406163,0.020761,0.038149,15,0,0,not_evaluable,raw_matrix
run-3,C04,test,docling,partial,43.842293,0.000004,0.000079,0,11,0,not_evaluable,historical_unbounded_docling_not_comparable_to_protected_receipt
run-3,C04,test,native_ocr,complete,0.128027,0.010766,0.021295,11,0,0,not_evaluable,raw_matrix
run-3,C04,test,pypdf,complete,0.118480,0.009813,0.019408,11,0,0,not_evaluable,raw_matrix
