document,cascade,activities,sessions,timeframes,accepted_direct,accepted_derived,unique_candidate_evidence_blocks,relations_accepted,relations_ambiguous,abstention_records,escalation_requests_not_executed,triggers,interpret_median_ms,interpret_min_ms,interpret_max_ms,validate_median_ms,deterministic,real_llm_calls
D01,confidence,9,0,1,12,0,12,0,0,0,0,,0.343917,0.333625,0.347041,1.160667,True,0
D01,structural-semantic,9,0,1,12,0,12,0,0,0,0,,0.39975,0.396334,0.411459,1.16525,True,0
D01,disagreement,9,0,1,12,0,12,0,0,3,1,heuristic_vs_strict_disagreement,0.886042,0.867916,0.896042,1.206333,True,0
D02,confidence,31,10,1,44,0,78,0,0,0,0,,1.746417,1.729833,1.78875,4.802,True,0
D02,structural-semantic,31,10,1,44,0,78,31,0,0,0,,2.036541,2.026625,2.089,7.942292,True,0
D02,disagreement,31,10,1,44,0,78,0,31,3,36,granularity_disagreement|heuristic_vs_strict_disagreement|relation_uncertain|unmapped_high_value_anchor,4.698458,4.625292,4.863875,8.173167,True,0
D03,confidence,9,2,3,15,1,24,0,0,0,0,,0.885083,0.868542,0.896459,1.910375,True,0
D03,structural-semantic,9,2,3,15,1,24,11,0,0,0,,1.020417,1.01225,1.042875,2.973291,True,0
D03,disagreement,9,2,3,15,1,24,0,11,3,13,granularity_disagreement|heuristic_vs_strict_disagreement|relation_uncertain,2.280375,2.269125,2.292542,3.173208,True,0
D04,confidence,21,3,0,25,1,7,0,0,1,0,,0.241666,0.232333,0.2425,2.084584,True,0
D04,structural-semantic,21,3,0,25,1,7,21,0,1,0,,0.285625,0.281792,0.293542,4.115,True,0
D04,disagreement,21,3,0,25,1,7,0,21,4,22,heuristic_vs_strict_disagreement|relation_uncertain,0.990875,0.98325,1.044708,4.368458,True,0
